id,title,body,category,priority
308,Errore firewall,"Urgente: firewall mostra messaggi di errore, reparto fermo. La scadenza è imminente, serve un riscontro.",Tecnico,media
333,Malfunzionamento schermata blu,Il/la schermata blu ha smesso di funzionare. Ho già provato a riavviare.,Tecnico,bassa
497,Modifica promozione,"Il/la promozione richiede approvazione. Chiedo cortesemente una verifica. Situazione bloccante, serve risposta immediata.",Commerciale,alta
19,Problema con F24,In riferimento al/alla F24: risulta errato. Attendo riscontro. Impossibile lavorare senza risoluzione.,Amministrazione,alta
340,Segnalazione su listino prezzi,Il/la listino prezzi non è stato inviato. Chiedo cortesemente una verifica.,Commerciale,bassa
409,Modifica consegna,Il/la consegna non è stato ricevuto. Si prega di intervenire.,Commerciale,bassa
245,Errore bug nel software,"Da ieri il/la bug nel software richiede aggiornamento. Impossibile lavorare. Situazione bloccante, serve risposta immediata.",Tecnico,alta
500,scontistica da rivedere,"Il/la scontistica è stato annullato. Si prega di intervenire. Situazione bloccante, serve risposta immediata.",Commerciale,alta
76,Problema con dichiarazione IVA,"Il/la dichiarazione IVA relativo al mese corrente non è stato emesso. Il sistema è down, emergenza.",Amministrazione,alta
144,Segnalazione errore su registro contabile,"Buongiorno, il/la registro contabile risulta errato. Chiedo assistenza.",Amministrazione,bassa
436,Sollecito listino prezzi,"Buongiorno, il/la listino prezzi necessita revisione. Urgente per il cliente. L'anomalia va risolta in tempi brevi.",Commerciale,media
268,lentezza del PC non disponibile,"Segnalo che lentezza del PC richiede aggiornamento. Serve intervento tecnico. Situazione bloccante, serve risposta immediata.",Tecnico,alta
73,Problema con nota di credito,Segnalo che il/la nota di credito non è stato emesso e necessita intervento.,Amministrazione,bassa
180,Errore stampante di rete,Da ieri il/la stampante di rete presenta malfunzionamenti. Impossibile lavorare.,Tecnico,bassa
6,rimborso non conforme,Si richiede la rettifica del/della rimborso in quanto presenta anomalie.,Amministrazione,bassa
201,Assistenza per software gestionale,Segnalo che software gestionale non risponde ai comandi. Serve intervento tecnico.,Tecnico,bassa
381,Modifica promozione,"Il/la promozione richiede approvazione. Chiedo cortesemente una verifica. Situazione bloccante, serve risposta immediata.",Commerciale,alta
43,Anomalia scadenza fiscale,In riferimento al/alla scadenza fiscale: è in sospeso. Attendo riscontro. Urgente: il reparto è fermo.,Amministrazione,alta
419,Modifica reso merce,Il/la reso merce necessita revisione. Chiedo cortesemente una verifica. C'è un ritardo significativo da gestire.,Commerciale,media
282,Errore bug nel software,"Urgente: bug nel software mostra messaggi di errore, reparto fermo. C'è un ritardo significativo da gestire.",Tecnico,media
401,Richiesta aggiornamento spedizione,Segnalo che il/la spedizione non corrisponde alla richiesta. C'è un ritardo significativo da gestire.,Commerciale,media
481,Problema con scontistica,"Buongiorno, il/la scontistica è stato annullato. Urgente per il cliente.",Commerciale,bassa
150,Verifica F24,"Il documento F24 va ricalcolato, si prega di verificare. È un errore critico che impedisce l'operatività.",Amministrazione,alta
235,Problema con aggiornamento firmware,"Urgente: aggiornamento firmware mostra messaggi di errore, reparto fermo.",Tecnico,bassa
250,Errore software gestionale,"Il/la software gestionale presenta malfunzionamenti. Ho già provato a riavviare. Il sistema è down, emergenza.",Tecnico,alta
45,Problema con dichiarazione IVA,Il/la dichiarazione IVA relativo al mese corrente non corrisponde. L'anomalia va risolta in tempi brevi.,Amministrazione,media
205,Malfunzionamento backup,Ho riscontrato che il/la backup non risponde ai comandi.,Tecnico,bassa
68,Anomalia estratto conto,In riferimento al/alla estratto conto: va ricalcolato. Attendo riscontro.,Amministrazione,bassa
488,Sollecito trattativa,"Gentilmente, il/la trattativa necessita revisione. Attendo aggiornamento.",Commerciale,bassa
224,connessione VPN non disponibile,Ho riscontrato che il/la connessione VPN non risponde ai comandi. C'è un ritardo significativo da gestire.,Tecnico,media
444,Segnalazione su promozione,"Gentilmente, il/la promozione richiede approvazione. Attendo aggiornamento. Attendo riscontro entro oggi se possibile.",Commerciale,media
240,Malfunzionamento database,Da ieri il/la database mostra messaggi di errore. Impossibile lavorare.,Tecnico,bassa
438,catalogo prodotti da rivedere,"Buongiorno, il/la catalogo prodotti non è stato inviato. Urgente per il cliente.",Commerciale,bassa
223,Errore crash applicazione,"Urgente: crash applicazione presenta malfunzionamenti, reparto fermo.",Tecnico,bassa
376,Richiesta aggiornamento catalogo prodotti,"Gentilmente, il/la catalogo prodotti contiene errori. Attendo aggiornamento.",Commerciale,bassa
7,bonifico non conforme,"Buongiorno, il/la bonifico necessita di verifica. Chiedo assistenza. È un errore critico che impedisce l'operatività.",Amministrazione,alta
237,Malfunzionamento stampante di rete,Il/la stampante di rete non risponde ai comandi da questa mattina.,Tecnico,bassa
13,Problema con F24,In riferimento al/alla F24: non è stato registrato. Attendo riscontro.,Amministrazione,bassa
211,aggiornamento firmware non disponibile,"Segnalo che aggiornamento firmware è irraggiungibile. Serve intervento tecnico. La scadenza è imminente, serve un riscontro.",Tecnico,media
67,Problema con ravvedimento operoso,Si richiede la rettifica del/della ravvedimento operoso in quanto va ricalcolato. C'è un ritardo significativo da gestire.,Amministrazione,media
355,offerta commerciale da rivedere,"Buongiorno, il/la offerta commerciale è scaduto. Urgente per il cliente. Attendo riscontro entro oggi se possibile.",Commerciale,media
86,Anomalia contributo INPS,"In riferimento al/alla contributo INPS: va ricalcolato. Attendo riscontro. La scadenza è imminente, serve un riscontro.",Amministrazione,media
311,Assistenza per bug nel software,Il/la bug nel software presenta malfunzionamenti. Ho già provato a riavviare. L'anomalia va risolta in tempi brevi.,Tecnico,media
293,Assistenza per crash applicazione,"Urgente: crash applicazione non funziona correttamente, reparto fermo.",Tecnico,bassa
261,Assistenza per connessione VPN,Ho riscontrato che il/la connessione VPN è irraggiungibile. È un errore critico che impedisce l'operatività.,Tecnico,alta
191,Problema con backup,Il/la backup richiede aggiornamento. Ho già provato a riavviare. Sollecito cortesemente una risposta.,Tecnico,media
368,Modifica consegna,Il/la consegna necessita revisione. Chiedo cortesemente una verifica.,Commerciale,bassa
450,Segnalazione su promozione,Il/la promozione non è stato ricevuto. Si prega di intervenire. L'anomalia va risolta in tempi brevi.,Commerciale,media
281,Assistenza per aggiornamento firmware,Ho riscontrato che il/la aggiornamento firmware ha smesso di funzionare. C'è un ritardo significativo da gestire.,Tecnico,media
148,nota di credito non conforme,In riferimento al/alla nota di credito: non è stato emesso. Attendo riscontro. Urgente: il reparto è fermo.,Amministrazione,alta
316,Errore password utente,Ho riscontrato che il/la password utente genera un errore.,Tecnico,bassa
475,lead commerciale da rivedere,Segnalo che il/la lead commerciale richiede approvazione.,Commerciale,bassa
64,Anomalia contributo INPS,Il/la contributo INPS relativo al mese corrente deve essere corretto. C'è un ritardo significativo da gestire.,Amministrazione,media
83,Anomalia contributo INPS,Segnalo che il/la contributo INPS risulta errato e necessita intervento. L'anomalia va risolta in tempi brevi.,Amministrazione,media
371,Richiesta aggiornamento scontistica,Il/la scontistica è scaduto. Si prega di intervenire. È un errore critico che impedisce l'operatività.,Commerciale,alta
424,Problema con reso merce,Il/la reso merce necessita revisione. Si prega di intervenire.,Commerciale,bassa
208,Errore errore di sistema,"Il/la errore di sistema ha smesso di funzionare da questa mattina. Il sistema è down, emergenza.",Tecnico,alta
312,Guasto software gestionale,"Urgente: software gestionale non si avvia, reparto fermo. Il sistema è down, emergenza.",Tecnico,alta
172,Assistenza per server aziendale,"Ho riscontrato che il/la server aziendale ha smesso di funzionare. La scadenza è imminente, serve un riscontro.",Tecnico,media
366,Modifica promozione,Segnalo che il/la promozione va modificato. Urgente: il reparto è fermo.,Commerciale,alta
408,Modifica catalogo prodotti,Il/la catalogo prodotti deve essere aggiornato. Chiedo cortesemente una verifica. Attendo riscontro entro oggi se possibile.,Commerciale,media
34,Problema con fattura,Il/la fattura relativo al mese corrente è stato rifiutato. L'anomalia va risolta in tempi brevi.,Amministrazione,media
466,Modifica lead commerciale,"Gentilmente, il/la lead commerciale richiede approvazione. Attendo aggiornamento.",Commerciale,bassa
108,Richiesta correzione pagamento,Si richiede la rettifica del/della pagamento in quanto è in sospeso. Impossibile lavorare senza risoluzione.,Amministrazione,alta
290,Problema con schermata blu,Da ieri il/la schermata blu non risponde ai comandi. Impossibile lavorare. Impossibile lavorare senza risoluzione.,Tecnico,alta
445,Segnalazione su piano vendite,Il/la piano vendite necessita revisione. Chiedo cortesemente una verifica. Urgente: il reparto è fermo.,Commerciale,alta
78,Problema con dichiarazione IVA,"Buongiorno, il/la dichiarazione IVA necessita di verifica. Chiedo assistenza. Il sistema è down, emergenza.",Amministrazione,alta
110,Segnalazione errore su scadenza fiscale,"Il documento scadenza fiscale va ricalcolato, si prega di verificare.",Amministrazione,bassa
233,backup non disponibile,Ho riscontrato che il/la backup presenta malfunzionamenti. C'è un ritardo significativo da gestire.,Tecnico,media
226,Errore firewall,Il/la firewall richiede aggiornamento. Ho già provato a riavviare.,Tecnico,bassa
402,Modifica scontistica,"Gentilmente, il/la scontistica va modificato. Attendo aggiornamento. Urgente: il reparto è fermo.",Commerciale,alta
353,contratto di fornitura da rivedere,Segnalo che il/la contratto di fornitura deve essere aggiornato. Urgente: il reparto è fermo.,Commerciale,alta
175,Problema con firewall,Segnalo che firewall si blocca all'avvio. Serve intervento tecnico. Attendo riscontro entro oggi se possibile.,Tecnico,media
431,Segnalazione su consegna,Segnalo che il/la consegna non è stato inviato.,Commerciale,bassa
453,Segnalazione su scontistica,Il cliente ha segnalato che il/la scontistica contiene errori.,Commerciale,bassa
416,Segnalazione su trattativa,Il/la trattativa richiede approvazione. Si prega di intervenire.,Commerciale,bassa
265,Problema con crash applicazione,Il/la crash applicazione genera un errore da questa mattina.,Tecnico,bassa
53,Anomalia dichiarazione IVA,"Segnalo che il/la dichiarazione IVA deve essere corretto e necessita intervento. La scadenza è imminente, serve un riscontro.",Amministrazione,media
455,Segnalazione su catalogo prodotti,Il/la catalogo prodotti necessita revisione. Chiedo cortesemente una verifica.,Commerciale,bassa
157,Segnalazione errore su nota di credito,Segnalo che il/la nota di credito presenta anomalie e necessita intervento. Urgente: il reparto è fermo.,Amministrazione,alta
253,Guasto server aziendale,Il/la server aziendale presenta malfunzionamenti da questa mattina.,Tecnico,bassa
322,lentezza del PC non disponibile,Da ieri il/la lentezza del PC presenta malfunzionamenti. Impossibile lavorare.,Tecnico,bassa
119,Richiesta correzione registro contabile,"Il documento registro contabile presenta anomalie, si prega di verificare. L'anomalia va risolta in tempi brevi.",Amministrazione,media
342,Sollecito scontistica,"Gentilmente, il/la scontistica è scaduto. Attendo aggiornamento. È un errore critico che impedisce l'operatività.",Commerciale,alta
486,Richiesta aggiornamento listino prezzi,"Il cliente ha segnalato che il/la listino prezzi è scaduto. Il sistema è down, emergenza.",Commerciale,alta
429,contratto di fornitura da rivedere,Il/la contratto di fornitura va modificato. Chiedo cortesemente una verifica.,Commerciale,bassa
94,Richiesta correzione contributo INPS,"Si richiede la rettifica del/della contributo INPS in quanto non è stato emesso. La scadenza è imminente, serve un riscontro.",Amministrazione,media
187,Problema con stampante di rete,Ho riscontrato che il/la stampante di rete si blocca all'avvio. Urgente: il reparto è fermo.,Tecnico,alta
186,Assistenza per crash applicazione,Il/la crash applicazione richiede aggiornamento da questa mattina. È un errore critico che impedisce l'operatività.,Tecnico,alta
57,Anomalia estratto conto,"Segnalo che il/la estratto conto è in sospeso e necessita intervento. La scadenza è imminente, serve un riscontro.",Amministrazione,media
40,contributo INPS non conforme,"Il documento contributo INPS non corrisponde, si prega di verificare.",Amministrazione,bassa
1,estratto conto non conforme,"Il documento estratto conto è in sospeso, si prega di verificare.",Amministrazione,bassa
266,Guasto stampante di rete,"Urgente: stampante di rete genera un errore, reparto fermo. C'è un ritardo significativo da gestire.",Tecnico,media
232,Guasto firewall,Il/la firewall ha smesso di funzionare da questa mattina.,Tecnico,bassa
47,Problema con ravvedimento operoso,Si richiede la rettifica del/della ravvedimento operoso in quanto è stato rifiutato. C'è un ritardo significativo da gestire.,Amministrazione,media
336,Modifica promozione,"Il cliente ha segnalato che il/la promozione non è stato inviato. Situazione bloccante, serve risposta immediata.",Commerciale,alta
220,Malfunzionamento crash applicazione,"Urgente: crash applicazione si blocca all'avvio, reparto fermo.",Tecnico,bassa
262,Assistenza per stampante di rete,Ho riscontrato che il/la stampante di rete mostra messaggi di errore.,Tecnico,bassa
314,Assistenza per crash applicazione,"Urgente: crash applicazione presenta malfunzionamenti, reparto fermo. C'è un ritardo significativo da gestire.",Tecnico,media
82,contributo INPS non conforme,Segnalo che il/la contributo INPS è stato rifiutato e necessita intervento.,Amministrazione,bassa
318,Problema con backup,"Urgente: backup non risponde ai comandi, reparto fermo.",Tecnico,bassa
432,Modifica campione gratuito,Il/la campione gratuito contiene errori. Chiedo cortesemente una verifica. C'è un ritardo significativo da gestire.,Commerciale,media
133,Segnalazione errore su dichiarazione IVA,"Il documento dichiarazione IVA non è stato registrato, si prega di verificare. Impossibile lavorare senza risoluzione.",Amministrazione,alta
420,Sollecito lead commerciale,Il/la lead commerciale non corrisponde alla richiesta. Chiedo cortesemente una verifica.,Commerciale,bassa
113,Problema con scadenza fiscale,Segnalo che il/la scadenza fiscale presenta anomalie e necessita intervento. C'è un ritardo significativo da gestire.,Amministrazione,media
10,Verifica bilancio,Il/la bilancio relativo al mese corrente necessita di verifica. È un errore critico che impedisce l'operatività.,Amministrazione,alta
459,Modifica ordine cliente,Segnalo che il/la ordine cliente contiene errori. Impossibile lavorare senza risoluzione.,Commerciale,alta
410,preventivo da rivedere,Il cliente ha segnalato che il/la preventivo richiede approvazione.,Commerciale,bassa
103,Verifica scadenza fiscale,Si richiede la rettifica del/della scadenza fiscale in quanto necessita di verifica.,Amministrazione,bassa
324,Problema con password utente,Da ieri il/la password utente si blocca all'avvio. Impossibile lavorare. Impossibile lavorare senza risoluzione.,Tecnico,alta
435,scontistica da rivedere,Il cliente ha segnalato che il/la scontistica non è stato inviato.,Commerciale,bassa
300,Problema con stampante di rete,Ho riscontrato che il/la stampante di rete non risponde ai comandi.,Tecnico,bassa
338,Segnalazione su scontistica,Il/la scontistica non è stato inviato. Si prega di intervenire. C'è un ritardo significativo da gestire.,Commerciale,media
397,Segnalazione su consegna,"Buongiorno, il/la consegna necessita revisione. Urgente per il cliente. Urgente: il reparto è fermo.",Commerciale,alta
143,Segnalazione errore su registro contabile,"Segnalo che il/la registro contabile non corrisponde e necessita intervento. La scadenza è imminente, serve un riscontro.",Amministrazione,media
284,bug nel software non disponibile,Il/la bug nel software si blocca all'avvio da questa mattina. Sollecito cortesemente una risposta.,Tecnico,media
456,Richiesta aggiornamento scontistica,"Il/la scontistica non è stato ricevuto. Si prega di intervenire. Il sistema è down, emergenza.",Commerciale,alta
188,Guasto rete interna,Ho riscontrato che il/la rete interna non si avvia.,Tecnico,bassa
247,database non disponibile,"Segnalo che database è irraggiungibile. Serve intervento tecnico. Situazione bloccante, serve risposta immediata.",Tecnico,alta
49,Problema con dichiarazione IVA,In riferimento al/alla dichiarazione IVA: necessita di verifica. Attendo riscontro.,Amministrazione,bassa
121,Problema con contributo INPS,In riferimento al/alla contributo INPS: non è stato registrato. Attendo riscontro. Attendo riscontro entro oggi se possibile.,Amministrazione,media
407,Segnalazione su lead commerciale,Il/la lead commerciale deve essere aggiornato. Chiedo cortesemente una verifica. C'è un ritardo significativo da gestire.,Commerciale,media
294,Malfunzionamento stampante di rete,Ho riscontrato che il/la stampante di rete si blocca all'avvio.,Tecnico,bassa
349,Sollecito piano vendite,Il cliente ha segnalato che il/la piano vendite richiede approvazione. Impossibile lavorare senza risoluzione.,Commerciale,alta
197,password utente non disponibile,"Urgente: password utente ha smesso di funzionare, reparto fermo.",Tecnico,bassa
337,Segnalazione su campione gratuito,Segnalo che il/la campione gratuito richiede approvazione.,Commerciale,bassa
496,Modifica consegna,"Gentilmente, il/la consegna non è stato inviato. Attendo aggiornamento.",Commerciale,bassa
418,Segnalazione su spedizione,Il/la spedizione necessita revisione. Si prega di intervenire.,Commerciale,bassa
425,Sollecito ordine cliente,Segnalo che il/la ordine cliente deve essere aggiornato. Attendo riscontro entro oggi se possibile.,Commerciale,media
84,Segnalazione errore su bonifico,"Buongiorno, il/la bonifico va ricalcolato. Chiedo assistenza. Urgente: il reparto è fermo.",Amministrazione,alta
280,Guasto errore di sistema,Il/la errore di sistema genera un errore. Ho già provato a riavviare.,Tecnico,bassa
88,Segnalazione errore su partita IVA,"Segnalo che il/la partita IVA non è stato registrato e necessita intervento. La scadenza è imminente, serve un riscontro.",Amministrazione,media
352,Problema con scontistica,Il cliente ha segnalato che il/la scontistica richiede approvazione.,Commerciale,bassa
365,trattativa da rivedere,"Gentilmente, il/la trattativa contiene errori. Attendo aggiornamento.",Commerciale,bassa
358,Problema con offerta commerciale,"Buongiorno, il/la offerta commerciale non è stato inviato. Urgente per il cliente.",Commerciale,bassa
26,Verifica registro contabile,"Il documento registro contabile risulta errato, si prega di verificare.",Amministrazione,bassa
14,Richiesta correzione contributo INPS,"Il/la contributo INPS relativo al mese corrente non è stato registrato. Situazione bloccante, serve risposta immediata.",Amministrazione,alta
89,scadenza fiscale non conforme,In riferimento al/alla scadenza fiscale: non corrisponde. Attendo riscontro. Urgente: il reparto è fermo.,Amministrazione,alta
221,connessione VPN non disponibile,"Segnalo che connessione VPN ha smesso di funzionare. Serve intervento tecnico. Situazione bloccante, serve risposta immediata.",Tecnico,alta
478,Richiesta aggiornamento offerta commerciale,Il cliente ha segnalato che il/la offerta commerciale richiede approvazione. Urgente: il reparto è fermo.,Commerciale,alta
395,Segnalazione su ordine cliente,"Buongiorno, il/la ordine cliente non corrisponde alla richiesta. Urgente per il cliente. La scadenza è imminente, serve un riscontro.",Commerciale,media
99,Anomalia F24,"Il documento F24 è in sospeso, si prega di verificare. Attendo riscontro entro oggi se possibile.",Amministrazione,media
174,firewall non disponibile,"Urgente: firewall non si avvia, reparto fermo.",Tecnico,bassa
139,Segnalazione errore su pagamento,In riferimento al/alla pagamento: va ricalcolato. Attendo riscontro. Impossibile lavorare senza risoluzione.,Amministrazione,alta
100,Richiesta correzione fattura,Il/la fattura relativo al mese corrente necessita di verifica. Attendo riscontro entro oggi se possibile.,Amministrazione,media
289,Assistenza per schermata blu,Il/la schermata blu non si avvia. Ho già provato a riavviare.,Tecnico,bassa
413,Segnalazione su piano vendite,"Il/la piano vendite è scaduto. Chiedo cortesemente una verifica. Situazione bloccante, serve risposta immediata.",Commerciale,alta
160,Anomalia F24,"Buongiorno, il/la F24 deve essere corretto. Chiedo assistenza.",Amministrazione,bassa
469,Sollecito offerta commerciale,"Il/la offerta commerciale è scaduto. Chiedo cortesemente una verifica. Il sistema è down, emergenza.",Commerciale,alta
328,Problema con database,Segnalo che database mostra messaggi di errore. Serve intervento tecnico.,Tecnico,bassa
163,Richiesta correzione F24,Segnalo che il/la F24 è stato rifiutato e necessita intervento.,Amministrazione,bassa
203,Assistenza per bug nel software,Segnalo che bug nel software genera un errore. Serve intervento tecnico. L'anomalia va risolta in tempi brevi.,Tecnico,media
37,Verifica pagamento,Il/la pagamento relativo al mese corrente deve essere corretto.,Amministrazione,bassa
151,Anomalia ricevuta,In riferimento al/alla ricevuta: presenta anomalie. Attendo riscontro.,Amministrazione,bassa
54,contributo INPS non conforme,"Buongiorno, il/la contributo INPS non è stato emesso. Chiedo assistenza.",Amministrazione,bassa
222,Problema con database,"Segnalo che database ha smesso di funzionare. Serve intervento tecnico. Il sistema è down, emergenza.",Tecnico,alta
81,Segnalazione errore su ricevuta,"Buongiorno, il/la ricevuta deve essere corretto. Chiedo assistenza. Sollecito cortesemente una risposta.",Amministrazione,media
426,Richiesta aggiornamento promozione,Il/la promozione è scaduto. Chiedo cortesemente una verifica. L'anomalia va risolta in tempi brevi.,Commerciale,media
189,Errore schermata blu,"Urgente: schermata blu genera un errore, reparto fermo. Il sistema è down, emergenza.",Tecnico,alta
443,Sollecito promozione,Il cliente ha segnalato che il/la promozione va modificato.,Commerciale,bassa
140,Verifica ricevuta,Si richiede la rettifica del/della ricevuta in quanto è in sospeso.,Amministrazione,bassa
264,Errore schermata blu,Da ieri il/la schermata blu non risponde ai comandi. Impossibile lavorare. Attendo riscontro entro oggi se possibile.,Tecnico,media
20,Verifica nota di credito,"Buongiorno, il/la nota di credito va ricalcolato. Chiedo assistenza.",Amministrazione,bassa
449,Segnalazione su scontistica,Il cliente ha segnalato che il/la scontistica è scaduto. Urgente: il reparto è fermo.,Commerciale,alta
484,Sollecito scontistica,Segnalo che il/la scontistica contiene errori.,Commerciale,bassa
183,Assistenza per connessione VPN,"Urgente: connessione VPN ha smesso di funzionare, reparto fermo.",Tecnico,bassa
146,Verifica nota di credito,Segnalo che il/la nota di credito non è stato registrato e necessita intervento. È un errore critico che impedisce l'operatività.,Amministrazione,alta
